	gen	id	fitness	mutation	context
0	0	0		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
What are some libraries for data visualization in python?
Topic: Data
Does anyone know if non-library buildings are open on campus?
Topic: Other
Neural networks can be programmed in both Tensorflow and PyTorch, true or false?
Topic: Data
what is data science?
Topic: Data
Could you explain the difference between Spark and Hadoop?
Topic: Data
Is it possible to set up an API in AWS?
Topic: Data
The wise old oak tree helped you make a decision?
Topic: Other
Django or Flask?
Topic: Data
"
1	0	1		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
What are some people's favorite movies?
Topic: Other
What is a simulation and how does it differ from machine learning modeling?
Topic: Data
Has anyone ever trained a transformer model for NLP?
Topic: Data
What is the best way to learn Tableau and PowerBI?
Topic: Data
should I just thumbs up every single message or what
Topic: Other
Which programming language is preferable for embedded systems, C or C++?
Topic: Other
@[redacted] Do you have any of the merch with the new logo done? If so can we see a link / picture?
Topic: Other
would this be better if we had dedicated reactions for good/bad questions/answers?
Topic: Other
"
2	0	2		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
How many neurons are contained within the human nervous system?
Topic: Other
When he attached the wires, they made a spark. Does he need more training?
Topic: Other
and if we're not, why not?
Topic: Other
What does a data science career path look like?
Topic: Data
Has anyone seen the original Transformers movie?
Topic: Other
why is it that a snowflake falls in the winter instead of the summer?
Topic: Other
Where was the largest cluster of cases found this month?
Topic: Other
What statistical distribution models intervals?
Topic: Data
"
3	0	3		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
What's the difference between data science and data analytics?
Topic: Data
What is a simulation and how does it differ from machine learning modeling?
Topic: Data
Which programming language is preferable for embedded systems, C or C++?
Topic: Other
What statistical distribution models intervals?
Topic: Data
What are some people's favorite movies?
Topic: Other
Is it possible to set up an API in AWS?
Topic: Data
should I just thumbs up every single message or what
Topic: Other
When he attached the wires, they made a spark. Does he need more training?
Topic: Other
"
4	0	4		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
would this be better if we had dedicated reactions for good/bad questions/answers?
Topic: Other
and if we're not, why not?
Topic: Other
Has anyone ever trained a transformer model for NLP?
Topic: Data
What does a data science career path look like?
Topic: Data
@[redacted] Do you have any of the merch with the new logo done? If so can we see a link / picture?
Topic: Other
What are some libraries for data visualization in python?
Topic: Data
Could you explain the difference between Spark and Hadoop?
Topic: Data
Has anyone seen the original Transformers movie?
Topic: Other
"
5	0	5		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
Neural networks can be programmed in both Tensorflow and PyTorch, true or false?
Topic: Data
what is data science?
Topic: Data
Does anyone know if non-library buildings are open on campus?
Topic: Other
Where was the largest cluster of cases found this month?
Topic: Other
What is the best way to learn Tableau and PowerBI?
Topic: Data
Django or Flask?
Topic: Data
How many neurons are contained within the human nervous system?
Topic: Other
why is it that a snowflake falls in the winter instead of the summer?
Topic: Other
"
6	0	6		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
The wise old oak tree helped you make a decision?
Topic: Other
@[redacted] Do you have any of the merch with the new logo done? If so can we see a link / picture?
Topic: Other
Could you explain the difference between Spark and Hadoop?
Topic: Data
Neural networks can be programmed in both Tensorflow and PyTorch, true or false?
Topic: Data
Where was the largest cluster of cases found this month?
Topic: Other
What's the difference between data science and data analytics?
Topic: Data
When he attached the wires, they made a spark. Does he need more training?
Topic: Other
Does anyone know if non-library buildings are open on campus?
Topic: Other
"
7	0	7		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
why is it that a snowflake falls in the winter instead of the summer?
Topic: Other
What are some people's favorite movies?
Topic: Other
would this be better if we had dedicated reactions for good/bad questions/answers?
Topic: Other
What is a simulation and how does it differ from machine learning modeling?
Topic: Data
Is it possible to set up an API in AWS?
Topic: Data
what is data science?
Topic: Data
Has anyone seen the original Transformers movie?
Topic: Other
How many neurons are contained within the human nervous system?
Topic: Other
"
8	0	8		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
What statistical distribution models intervals?
Topic: Data
What are some libraries for data visualization in python?
Topic: Data
What is the best way to learn Tableau and PowerBI?
Topic: Data
should I just thumbs up every single message or what
Topic: Other
Django or Flask?
Topic: Data
What does a data science career path look like?
Topic: Data
Which programming language is preferable for embedded systems, C or C++?
Topic: Other
and if we're not, why not?
Topic: Other
"
9	0	9		0	"Decide whether the topic of the question is "" Data"" or "" Other"".
Has anyone ever trained a transformer model for NLP?
Topic: Data
@[redacted] Do you have any of the merch with the new logo done? If so can we see a link / picture?
Topic: Other
should I just thumbs up every single message or what
Topic: Other
what is data science?
Topic: Data
What statistical distribution models intervals?
Topic: Data
would this be better if we had dedicated reactions for good/bad questions/answers?
Topic: Other
How many neurons are contained within the human nervous system?
Topic: Other
What is a simulation and how does it differ from machine learning modeling?
Topic: Data
"
